Territorio;Nivel educativo;Sexo;Titularidad del centro;Curso;Valor
España;Total FP;Hombres;Centros privados;2016-2017;3827
España;Total FP;Hombres;Centros privados;2017-2018;3984
España;Total FP;Hombres;Centros privados;2018-2019;4555
España;Total FP;Hombres;Centros públicos;2016-2017;8630
España;Total FP;Hombres;Centros públicos;2017-2018;9937
España;Total FP;Hombres;Centros públicos;2018-2019;11724
España;Total FP;Mujeres;Todos los centros;2016-2017;7900
España;Total FP;Mujeres;Todos los centros;2017-2018;8695
España;Total FP;Mujeres;Todos los centros;2018-2019;10061
España;Total FP;Mujeres;Centros privados;2016-2017;2176
España;Total FP;Mujeres;Centros privados;2017-2018;2582
España;Total FP;Mujeres;Centros privados;2018-2019;3003
España;Total FP;Mujeres;Centros públicos;2016-2017;5724
España;Total FP;Mujeres;Centros públicos;2017-2018;6113
España;Total FP;Mujeres;Centros públicos;2018-2019;7058
España;FP Básica y Grado Medio;Total;Todos los centros;2016-2017;7836
España;FP Básica y Grado Medio;Total;Todos los centros;2017-2018;8485
España;FP Básica y Grado Medio;Total;Todos los centros;2018-2019;9940
España;FP Básica y Grado Medio;Total;Centros privados;2016-2017;2480
España;FP Básica y Grado Medio;Total;Centros privados;2017-2018;2540
España;FP Básica y Grado Medio;Total;Centros privados;2018-2019;3079
España;FP Básica y Grado Medio;Total;Centros públicos;2016-2017;5356
España;FP Básica y Grado Medio;Total;Centros públicos;2017-2018;5945
España;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;6861
España;FP Básica y Grado Medio;Hombres;Todos los centros;2016-2017;5057
España;FP Básica y Grado Medio;Hombres;Todos los centros;2017-2018;5458
España;FP Básica y Grado Medio;Hombres;Todos los centros;2018-2019;6486
España;FP Básica y Grado Medio;Hombres;Centros privados;2016-2017;1638
España;FP Básica y Grado Medio;Hombres;Centros privados;2017-2018;1538
España;FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;1959
España;FP Básica y Grado Medio;Hombres;Centros públicos;2016-2017;3419
España;FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;3920
España;FP Básica y Grado Medio;Hombres;Centros públicos;2018-2019;4527
España;FP Básica y Grado Medio;Mujeres;Todos los centros;2016-2017;2779
España;FP Básica y Grado Medio;Mujeres;Todos los centros;2017-2018;3027
España;FP Básica y Grado Medio;Mujeres;Todos los centros;2018-2019;3454
España;FP Básica y Grado Medio;Mujeres;Centros privados;2016-2017;842
España;FP Básica y Grado Medio;Mujeres;Centros privados;2017-2018;1002
España;FP Básica y Grado Medio;Mujeres;Centros privados;2018-2019;1120
España;FP Básica y Grado Medio;Mujeres;Centros públicos;2016-2017;1937
España;FP Básica y Grado Medio;Mujeres;Centros públicos;2017-2018;2025
España;FP Básica y Grado Medio;Mujeres;Centros públicos;2018-2019;2334
España;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;19943
España;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2017-2018;22244
España;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;25828
España;FP Grado Medio y FP Grado Superior;Total;Centros privados;2016-2017;5762
España;FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;6410
España;FP Grado Medio y FP Grado Superior;Total;Centros privados;2018-2019;7295
España;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2016-2017;14181
España;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;15834
España;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;18533
España;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;12117
España;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2017-2018;13613
España;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2018-2019;15842
España;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2016-2017;3622
España;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2017-2018;3855
España;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2018-2019;4318
España;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;8495
España;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2017-2018;9758
España;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2018-2019;11524
España;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2016-2017;7826
España;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2017-2018;8631
España;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;9986
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2016-2017;2140
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2017-2018;2555
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2018-2019;2977
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2016-2017;5686
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;6076
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2018-2019;7009
