Territorio;Titularidad del centro;Sexo;Curso escolar;Nivel educativo;Modalidad;Valor
Aragón;Centros públicos;Mujeres;2016-2017;Medio;Presencial;1030
Aragón;Centros públicos;Mujeres;2016-2017;Superior;Distancia;28
Aragón;Centros públicos;Mujeres;2016-2017;Superior;Presencial;1476
Aragón;Centros públicos;Mujeres;2017-2018;Básico;Presencial;103
Aragón;Centros públicos;Mujeres;2017-2018;Medio;Distancia;32
Aragón;Centros públicos;Mujeres;2017-2018;Medio;Presencial;976
Aragón;Centros públicos;Mujeres;2017-2018;Superior;Distancia;14
Aragón;Centros públicos;Mujeres;2017-2018;Superior;Presencial;1589
Aragón;Todos los centros;Total;2015-2016;Básico;Presencial;1144
Aragón;Todos los centros;Total;2015-2016;Medio;Distancia;43
Aragón;Todos los centros;Total;2015-2016;Medio;Presencial;4558
Aragón;Todos los centros;Total;2015-2016;Superior;Distancia;51
Aragón;Todos los centros;Total;2015-2016;Superior;Presencial;7079
Aragón;Todos los centros;Total;2016-2017;Básico;Presencial;1380
Aragón;Todos los centros;Total;2016-2017;Medio;Distancia;67
Aragón;Todos los centros;Total;2016-2017;Medio;Presencial;4756
Aragón;Todos los centros;Total;2016-2017;Superior;Distancia;55
Aragón;Todos los centros;Total;2016-2017;Superior;Presencial;7193
Aragón;Todos los centros;Total;2017-2018;Básico;Presencial;1485
Aragón;Todos los centros;Total;2017-2018;Medio;Distancia;72
Aragón;Todos los centros;Total;2017-2018;Medio;Presencial;4810
Aragón;Todos los centros;Total;2017-2018;Superior;Distancia;50
Aragón;Todos los centros;Total;2017-2018;Superior;Presencial;8041
Aragón;Todos los centros;Hombres;2015-2016;Básico;Presencial;797
Aragón;Todos los centros;Hombres;2015-2016;Medio;Distancia;25
Aragón;Todos los centros;Hombres;2015-2016;Medio;Presencial;2760
Aragón;Todos los centros;Hombres;2015-2016;Superior;Distancia;22
Aragón;Todos los centros;Hombres;2015-2016;Superior;Presencial;4140
Aragón;Todos los centros;Hombres;2016-2017;Básico;Presencial;990
Aragón;Todos los centros;Hombres;2016-2017;Medio;Distancia;34
Aragón;Todos los centros;Hombres;2016-2017;Medio;Presencial;2922
Aragón;Todos los centros;Hombres;2016-2017;Superior;Distancia;27
Aragón;Todos los centros;Hombres;2016-2017;Superior;Presencial;4277
Aragón;Todos los centros;Hombres;2017-2018;Básico;Presencial;1042
Aragón;Todos los centros;Hombres;2017-2018;Medio;Distancia;40
Aragón;Todos los centros;Hombres;2017-2018;Medio;Presencial;3000
Aragón;Todos los centros;Hombres;2017-2018;Superior;Distancia;36
Aragón;Todos los centros;Hombres;2017-2018;Superior;Presencial;4966
Aragón;Todos los centros;Mujeres;2015-2016;Básico;Presencial;347
Aragón;Todos los centros;Mujeres;2015-2016;Medio;Distancia;18
Aragón;Todos los centros;Mujeres;2015-2016;Medio;Presencial;1798
Aragón;Todos los centros;Mujeres;2015-2016;Superior;Distancia;29
Aragón;Todos los centros;Mujeres;2015-2016;Superior;Presencial;2939
Aragón;Todos los centros;Mujeres;2016-2017;Básico;Presencial;390
Aragón;Todos los centros;Mujeres;2016-2017;Medio;Distancia;33
Aragón;Todos los centros;Mujeres;2016-2017;Medio;Presencial;1834
Aragón;Todos los centros;Mujeres;2016-2017;Superior;Distancia;28
Aragón;Todos los centros;Mujeres;2016-2017;Superior;Presencial;2916
Aragón;Todos los centros;Mujeres;2017-2018;Básico;Presencial;443
Aragón;Todos los centros;Mujeres;2017-2018;Medio;Distancia;32
Aragón;Todos los centros;Mujeres;2017-2018;Medio;Presencial;1810
Aragón;Todos los centros;Mujeres;2017-2018;Superior;Distancia;14
Aragón;Todos los centros;Mujeres;2017-2018;Superior;Presencial;3075
País Vasco;Centros privados;Total;2015-2016;Básico;Presencial;111
País Vasco;Centros privados;Total;2015-2016;Medio;Distancia;0
País Vasco;Centros privados;Total;2015-2016;Medio;Presencial;1163
País Vasco;Centros privados;Total;2015-2016;Superior;Distancia;0
País Vasco;Centros privados;Total;2015-2016;Superior;Presencial;1315
País Vasco;Centros privados;Total;2016-2017;Básico;Presencial;240
País Vasco;Centros privados;Total;2016-2017;Medio;Distancia;0
